grade,model,prompt,Controllability Score,RMSE,MSE Accuracy,Target Drop,Off-Target Influence
4,claude-sonnet-4-5-20250929,combined,0.17221104404202994,0.37709094662352904,0.42576643464501673,0.7023539384454878,0.36143714136671884
4,claude-sonnet-4-5-20250929,few_shot,0.06216022994635169,0.5494622074125484,0.12949097772036558,0.26142773010017667,0.157576636575573
4,claude-sonnet-4-5-20250929,rule_based,0.17067108533554268,0.4416624938634109,0.7053799914460465,0.8272490334161834,0.5934306821320077
4,deepseek-chat,combined,0.17429993001487185,0.44860262385203964,0.10953961504893928,0.36490168061509154,0.022783950077275246
4,deepseek-chat,few_shot,-0.0010939152702777936,0.6878795975504595,0.010719386569251138,0.014557056877938691,0.016415727566982927
4,deepseek-chat,rule_based,0.0977008294828258,0.5534066412895693,0.07297852020075746,0.2276805872565211,0.04619139960536166
4,gpt-4o,combined,0.31482756835128417,0.2345167232297135,0.3845860956005593,0.680398485685354,0.07651316395102642
4,gpt-4o,few_shot,0.051980633802816874,0.6028695604500522,0.17469567568130678,0.1409902792825328,0.04733884073672809
4,gpt-4o,rule_based,0.31725352112676053,0.23039039922492938,0.3924476621315665,0.7243125419181757,0.10093896713615023
5,claude-sonnet-4-5-20250929,combined,0.11898361495135688,0.4305159005907754,0.6015975986650474,0.6699308755760368,0.37937788018433183
5,claude-sonnet-4-5-20250929,few_shot,-0.09297897740433685,0.7200636516562764,0.07156610089161408,0.031235231280794258,0.207582541496654
5,claude-sonnet-4-5-20250929,rule_based,0.15627240143369175,0.4077766324460507,0.8408128202849611,0.7702508960573476,0.41236559139784945
5,deepseek-chat,combined,0.25372072558163433,0.3504229391386805,0.17306989741007334,0.512717430403001,0.016938374378540906
5,deepseek-chat,few_shot,-0.008647601277404991,0.6984341720026355,0.011789448739595362,0.01261258028633966,0.029871900678172865
5,deepseek-chat,rule_based,0.09135337053117563,0.5544699957782331,0.04554834760113352,0.2238688148121569,0.038250385733251985
5,gpt-4o,combined,0.2047363031233999,0.40406729484028725,0.3711800310040779,0.4256400409626216,0.04804147465437788
5,gpt-4o,few_shot,0.013912469345406573,0.6457341627721686,0.27001194743130225,0.09314280324467089,0.07031692133559703
5,gpt-4o,rule_based,0.23355676581483034,0.35159147611376496,0.3857341745904796,0.5175953079178887,0.07059069962295765
