grade,model,prompt,target_drop,off_target,selectivity
4,claude-sonnet-4-5-20250929,combined,0.7023539384454878,0.36143714136671884,0.660236724215848
4,claude-sonnet-4-5-20250929,few_shot,0.26142773010017667,0.157576636575573,0.6239260262377142
4,claude-sonnet-4-5-20250929,rule_based,0.8272490334161834,0.5934306821320077,0.5822910144913876
4,deepseek-chat,combined,0.36490168061509154,0.022783950077275246,0.9412308602260643
4,deepseek-chat,few_shot,0.014557056877938691,0.016415727566982927,0.46999508338781026
4,deepseek-chat,rule_based,0.2276805872565211,0.04619139960536166,0.8313394481634369
4,gpt-4o,combined,0.680398485685354,0.07651316395102642,0.8989140081452079
4,gpt-4o,few_shot,0.1409902792825328,0.04733884073672809,0.748637696175056
4,gpt-4o,rule_based,0.7243125419181757,0.10093896713615023,0.8776870240085892
5,claude-sonnet-4-5-20250929,combined,0.6699308755760368,0.37937788018433183,0.638449713928223
5,claude-sonnet-4-5-20250929,few_shot,0.031235231280794258,0.207582541496654,0.1307910662876459
5,claude-sonnet-4-5-20250929,rule_based,0.7702508960573476,0.41236559139784945,0.6513108041166368
5,deepseek-chat,combined,0.512717430403001,0.016938374378540906,0.9680200326445072
5,deepseek-chat,few_shot,0.01261258028633966,0.029871900678172865,0.29687499301215453
5,deepseek-chat,rule_based,0.2238688148121569,0.038250385733251985,0.8540725497875226
5,gpt-4o,combined,0.4256400409626216,0.04804147465437788,0.8985785301535792
5,gpt-4o,few_shot,0.09314280324467089,0.07031692133559703,0.5698211159600445
5,gpt-4o,rule_based,0.5175953079178887,0.07059069962295765,0.879985753489654
