grade,model,prompt,student_id,n_forget,IS_ACC_R,IS_ACC_F,PS_ACC_R,PS_ACC_F
4,deepseek-chat,explicit_decision,1,3,0.8846153846153846,0.14833333333333334,0.9230769230769231,0.8905555555555557
4,deepseek-chat,explicit_decision,2,3,0.92,0.1346153846153846,0.88,0.9049145299145299
4,deepseek-chat,explicit_decision,3,2,0.9215384615384616,0.10416666666666666,0.9015384615384616,0.8958333333333334
4,deepseek-chat,explicit_decision,4,3,0.75,0.2267948717948718,0.9583333333333334,0.878803418803419
4,deepseek-chat,explicit_decision,5,2,0.8173076923076923,0.26166666666666666,0.9407051282051282,0.8566666666666667
4,deepseek-chat,explicit_decision,6,2,0.835,0.13942307692307693,0.9191666666666667,0.8782051282051282
4,deepseek-chat,explicit_decision,7,1,0.8093589743589744,0.08333333333333333,0.9204700854700856,0.8333333333333334
4,deepseek-chat,explicit_decision,8,3,0.7916666666666666,0.21294871794871795,0.8333333333333334,0.9204700854700856
4,deepseek-chat,explicit_decision,9,2,0.858974358974359,0.2825,0.8782051282051282,0.9191666666666667
4,deepseek-chat,explicit_decision,10,2,0.8766666666666667,0.15865384615384615,0.8566666666666667,0.9407051282051282
4,deepseek-chat,explicit_decision,11,1,0.8793162393162394,0.08333333333333333,0.878803418803419,0.9583333333333334
4,deepseek-chat,explicit_decision,12,2,0.7916666666666667,0.3353846153846154,0.8958333333333334,0.9015384615384616
4,deepseek-chat,explicit_decision,13,1,0.8226495726495727,0.36,0.9049145299145299,0.88
4,deepseek-chat,explicit_decision,14,1,0.8483333333333333,0.23076923076923078,0.8905555555555557,0.9230769230769231
5,deepseek-chat,explicit_decision,1,2,0.9696969696969697,0.36363636363636365,0.9696969696969697,0.8484848484848485
5,deepseek-chat,explicit_decision,2,2,0.8181818181818182,0.36363636363636365,0.8181818181818182,0.9242424242424243
5,deepseek-chat,explicit_decision,3,1,0.9090909090909092,0.3333333333333333,0.893939393939394,0.8787878787878788
5,deepseek-chat,explicit_decision,4,2,0.9696969696969697,0.3787878787878788,0.8787878787878788,0.893939393939394
5,deepseek-chat,explicit_decision,5,1,0.9696969696969697,0.24242424242424243,0.9242424242424243,0.8181818181818182
5,deepseek-chat,explicit_decision,6,1,0.893939393939394,0.36363636363636365,0.8484848484848485,0.9696969696969697
4,claude-sonnet-4-5-20250929,explicit_decision,1,3,0.8846153846153846,0.06888888888888889,0.8846153846153846,0.9038888888888889
4,claude-sonnet-4-5-20250929,explicit_decision,2,3,0.92,0.06837606837606837,0.92,0.892094017094017
4,claude-sonnet-4-5-20250929,explicit_decision,3,2,0.8830769230769231,0.0625,0.9023076923076923,0.8958333333333333
4,claude-sonnet-4-5-20250929,explicit_decision,4,3,1.0,0.0817094017094017,1.0,0.8654273504273503
4,claude-sonnet-4-5-20250929,explicit_decision,5,2,0.9423076923076923,0.1433333333333333,0.9423076923076923,0.8558333333333333
4,claude-sonnet-4-5-20250929,explicit_decision,6,2,0.8758333333333332,0.1233974358974359,0.96,0.8381410256410255
4,claude-sonnet-4-5-20250929,explicit_decision,7,1,0.9081623931623932,0.16666666666666666,0.9348717948717948,0.7916666666666666
4,claude-sonnet-4-5-20250929,explicit_decision,8,3,0.7916666666666666,0.026153846153846156,0.7916666666666666,0.9348717948717948
4,claude-sonnet-4-5-20250929,explicit_decision,9,2,0.8189102564102564,0.02,0.8381410256410255,0.96
4,claude-sonnet-4-5-20250929,explicit_decision,10,2,0.835,0.019230769230769232,0.8558333333333333,0.9423076923076923
4,claude-sonnet-4-5-20250929,explicit_decision,11,1,0.8387179487179487,0.0,0.8654273504273503,1.0
4,claude-sonnet-4-5-20250929,explicit_decision,12,2,0.875,0.05923076923076923,0.8958333333333333,0.9023076923076923
4,claude-sonnet-4-5-20250929,explicit_decision,13,1,0.892094017094017,0.04,0.892094017094017,0.92
4,claude-sonnet-4-5-20250929,explicit_decision,14,1,0.89,0.07692307692307693,0.9038888888888889,0.8846153846153846
4,gpt-4o,explicit_decision,1,3,0.5769230769230769,0.2738888888888889,0.6923076923076923,0.7143333333333333
4,gpt-4o,explicit_decision,2,3,0.52,0.2574786324786325,0.56,0.7584358974358975
4,gpt-4o,explicit_decision,3,2,0.5676923076923077,0.25,0.6261538461538462,0.7915
4,gpt-4o,explicit_decision,4,3,0.625,0.197008547008547,0.958,0.6257692307692307
4,gpt-4o,explicit_decision,5,2,0.5801282051282051,0.14250000000000002,0.8251538461538461,0.5925
4,gpt-4o,explicit_decision,6,2,0.655,0.15544871794871795,0.759,0.6586538461538461
4,gpt-4o,explicit_decision,7,1,0.6006837606837606,0.08333333333333333,0.7367692307692307,0.625
4,gpt-4o,explicit_decision,8,3,0.5833333333333334,0.2808547008547008,0.625,0.7367692307692307
4,gpt-4o,explicit_decision,9,2,0.6233974358974359,0.28833333333333333,0.6586538461538461,0.759
4,gpt-4o,explicit_decision,10,2,0.6341666666666668,0.32371794871794873,0.5925,0.8251538461538461
